street,crimes during out,crimes in buffer,rate,long,lat
11016 S AVENUE O,0,2,0.0,-87.54010129952287,41.695200172140105
1102 N CHRISTIANA AVE,0,1,0.0,-87.71056606608235,41.9010532593971
1102 N WINCHESTER AVE,0,2,0.0,-87.6759895837434,41.90156830740376
1102 S PLYMOUTH CT,0,2,0.0,-87.62856104507676,41.86918271941893
11020 S NORMAL AVE,0,1,0.0,-87.63517754122658,41.693677227391966
11044 S MORGAN ST,0,1,0.0,-87.64726613941744,41.69303864486546
1105 N KOSTNER AVE,0,2,0.0,-87.73609819884474,41.90083073090373
1105 N SPRINGFIELD AVE,0,1,0.0,-87.72381279395437,41.90096035617693
1105 W 18TH ST,0,1,0.0,-87.65355737969696,41.857995321847504
1106 S PLYMOUTH CT,0,2,0.0,-87.62855976407404,41.869132217394174
1109 W 94TH ST,0,1,0.0,-87.65101658797262,41.72318834220939
111 N LEAVITT ST,1,3,0.3333333333333333,-87.68157891630042,41.88336457390468
1110 N OAKLEY BLVD,0,4,0.0,-87.6845413677059,41.90152522599739
1110 W 90TH ST,0,3,0.0,-87.65114851084931,41.730492359328295
11100 S CHAMPLAIN AVE,0,1,0.0,-87.60720480028526,41.69280361576303
11100 S COTTAGE GROVE AVE,0,2,0.0,-87.60986050404448,41.69277120788301
11100 S EDBROOKE AVE,0,2,0.0,-87.61963740166505,41.69262947781153
11100 S MICHIGAN AVE,0,7,0.0,-87.6210477492012,41.692605791388004
11100 S TROY ST,0,1,0.0,-87.69961105931387,41.69158114986911
11100 S VINCENNES AVE,0,6,0.0,-87.66331090340813,41.69215649383413
11100 S WENTWORTH AVE,0,2,0.0,-87.62790703291006,41.692526497365286
11102 S LANGLEY AVE,0,1,0.0,-87.60599201344546,41.692779179143926
11104 S BISHOP ST,0,1,0.0,-87.65859400433077,41.69209051304553
